species,binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,diel
Polyplectron_napoleonis,Polyplectron napoleonis,Chordata,Aves,Galliformes,Phasianidae,Polyplectron,Palawan peacock-pheasant,NA,NA,NA,NA,730,365,15,180,NA,NA,acceptable,550,180,NA,NA,NA,180,NA
Polyprion_oxygeneios,Polyprion oxygeneios,Chordata,Actinopterygii,Perciformes,Polyprionidae,Polyprion,Hapuka,NA,NA,NA,NA,NA,4197,60,720,NA,NA,acceptable,55000,720,NA,NA,NA,720,NA
Polypterus_senegalus,Polypterus senegalus,Chordata,Cladistei,Polypteriformes,Polypteridae,Polypterus,Gray bichir,NA,NA,NA,NA,NA,NA,34,408,NA,NA,acceptable,NA,NA,NA,NA,NA,408,NA
Polysticta_stelleri,Polysticta stelleri,Chordata,Aves,Anseriformes,Anatidae,Polysticta,Steller's eider,NA,NA,NA,NA,730,730,23,276,NA,NA,acceptable,907.2,276,NA,NA,NA,276,NA
Polytelis_alexandrae,Polytelis alexandrae,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,Alexandra's parrot,NA,NA,NA,NA,NA,NA,23.9,286.8,NA,NA,acceptable,104,286.8,105,NA,2.67288,286.8,NA
Polytelis_anthopeplus,Polytelis anthopeplus,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,Regent parrot,NA,NA,NA,NA,363,NA,13.8,165.6,NA,NA,acceptable,170,165.6,175,NA,3.9886,165.6,NA
Polytelis_swainsonii,Polytelis swainsonii,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,Superb parrot,NA,NA,NA,NA,363,NA,15.1,181.2,NA,NA,acceptable,153,181.2,145,NA,3.4706,181.2,NA
Pomacanthus_navarchus,Pomacanthus navarchus,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,Bluegirdled angelfish,NA,NA,NA,NA,NA,NA,15,180,NA,NA,acceptable,NA,180,NA,NA,NA,180,NA
Pomatomus_saltatrix,Pomatomus saltatrix,Chordata,Actinopterygii,Perciformes,Pomatomidae,Pomatomus,Bluefish,NA,NA,NA,NA,NA,NA,9,108,NA,NA,acceptable,7920,108,NA,NA,NA,108,NA
Pomatoschistus_lozanoi,Pomatoschistus lozanoi,Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Lozano's goby,NA,NA,NA,NA,NA,NA,2,24,NA,NA,acceptable,NA,24,NA,NA,NA,24,NA
Pomatoschistus_marmoratus,Pomatoschistus marmoratus,Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Marbled goby,NA,NA,NA,NA,NA,NA,2,24,NA,NA,acceptable,NA,24,NA,NA,NA,24,NA
Pomatoschistus_minutus,Pomatoschistus minutus,Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Freckled goby,NA,NA,NA,NA,365,365,3,36,NA,NA,acceptable,NA,36,NA,NA,NA,36,NA
Pomatoschistus_pictus,Pomatoschistus pictus,Chordata,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Painted goby,NA,NA,NA,NA,NA,NA,2,24,NA,NA,acceptable,NA,24,NA,NA,NA,24,NA
Pomatostomus_ruficeps,Pomatostomus ruficeps,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,Chestnut-crowned babbler,NA,NA,NA,NA,NA,NA,8.3,99.6,NA,NA,acceptable,NA,NA,50.2,NA,NA,99.6,NA
Pomatostomus_superciliosus,Pomatostomus superciliosus,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,White-browed babbler,NA,NA,NA,NA,NA,NA,14.4,172.8,NA,NA,acceptable,NA,NA,38.55,NA,NA,172.8,NA
Pomatostomus_temporalis,Pomatostomus temporalis,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,Grey-crowned babbler,NA,NA,NA,NA,NA,NA,13.3,159.6,NA,NA,acceptable,NA,NA,69.5,NA,1.9684,159.6,NA
Pomoxis_annularis,Pomoxis annularis,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,White crappie,NA,NA,NA,NA,NA,NA,10,120,NA,NA,acceptable,1292.5,120,NA,NA,NA,120,NA
Pomoxis_nigromaculatus,Pomoxis nigromaculatus,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,Black crappie,NA,NA,NA,NA,NA,NA,15,180,NA,NA,acceptable,1496,180,NA,NA,NA,180,NA
Pongo_pygmaeus,Pongo pygmaeus,Chordata,Mammalia,Primates,Hominidae,Pongo,Orangutan,53408.29,NA,720,3318.62,2555,2555,59,708,NA,NA,acceptable,64475,708,54229.04,NA,341.99,714,NA
Pooecetes_gramineus,Pooecetes gramineus,Chordata,Aves,Passeriformes,Passerellidae,Pooecetes,Vesper sparrow,NA,NA,NA,NA,365,365,7.9,94.8,0.27412,21.5,acceptable,25.7,94.8,NA,NA,NA,94.8,DIU
Porphyrio_porphyrio,Porphyrio porphyrio,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Purple swamphen,NA,NA,NA,NA,NA,1096,8.4,100.8,NA,NA,acceptable,NA,NA,994.5,NA,4.8692,100.8,NA
Potamalosa_richmondia,Potamalosa richmondia,Chordata,Teleostei,Clupeiformes,Clupeidae,Potamalosa,Australian freshwater herring,NA,NA,NA,NA,NA,NA,11,132,NA,NA,acceptable,NA,132,NA,NA,NA,132,NA
Potamochoerus_porcus,Potamochoerus porcus,Chordata,Mammalia,Artiodactyla,Suidae,Potamochoerus,Red river hog,70000.31,NA,240,1113.7,1096,1096,22,264,NA,NA,high,88000,264,NA,NA,NA,252,NA
Potorous_longipes,Potorous longipes,Chordata,Mammalia,Diprotodontia,Potoroidae,Potorous,Long-footed potoroo,1835.06,NA,120,855.56,755,NA,15.3,183.6,NA,NA,acceptable,1650,183.6,NA,NA,NA,151.8,NA
Potorous_tridactylus,Potorous tridactylus,Chordata,Mammalia,Diprotodontia,Potoroidae,Potorous,Long-nosed potoroo,1054.67,1077.5,144,413.84,400,NA,14.5,174,2.556,1045.5,acceptable,1430,174,1283,NA,9.87308,159,NA
Potos_flavus,Potos flavus,Chordata,Mammalia,Carnivora,Procyonidae,Potos,Kinkajou,2441.81,2157.5,348,858.41,820,550,38.4,460.8,4.294,2318,acceptable,3000,460.8,2620,NA,31.05,404.4,NA
Praomys_tullbergi,Praomys tullbergi,Chordata,Mammalia,Rodentia,Muridae,Praomys,"Tullberg's praomys, or Tullberg's rock rat",37.1,NA,62.4,57.07,82,75,5.2,62.4,NA,NA,acceptable,30,62.4,NA,NA,NA,62.4,NA
Presbytis_melalophos,Presbytis melalophos,Chordata,Mammalia,Primates,Cercopithecidae,Presbytis,"Black-crested sumatran langur, or Mitred leaf monkey",6439.12,NA,192,NA,NA,NA,20,240,NA,NA,acceptable,6540,240,NA,NA,NA,216,NA
Primolius_maracana,Primolius maracana,Chordata,Aves,Psittaciformes,Psittacidae,Primolius,Blue-winged macaw,NA,NA,NA,NA,NA,NA,31,372,NA,NA,acceptable,256,372,NA,NA,NA,372,NA
Priodontes_maximus,Priodontes maximus,Chordata,Mammalia,Cingulata,Dasypodidae,Priodontes,Giant armadillo,40641.89,45190,180,327.59,320,320,15,180,16.892,45190,acceptable,33000,180,NA,NA,NA,180,NA
Prionace_glauca,Prionace glauca,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Prionace,Blue shark,NA,NA,NA,NA,2190,NA,20,240,NA,NA,acceptable,113245,240,NA,NA,NA,240,NA
Prionailurus_bengalensis,Prionailurus bengalensis,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Leopard cat,2780.97,NA,180,855.31,365,NA,17,204,NA,NA,acceptable,5000,204,NA,NA,NA,192,NA
Prionailurus_planiceps,Prionailurus planiceps,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Flat-headed cat,3533.76,NA,NA,NA,NA,NA,14,168,NA,NA,acceptable,6750,168,NA,NA,NA,168,NA
Prionailurus_rubiginosus,Prionailurus rubiginosus,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Rusty-spotted cat,1418.75,NA,NA,NA,NA,NA,17.9,214.8,NA,NA,acceptable,1350,214.8,NA,NA,NA,214.8,NA
Prionailurus_viverrinus,Prionailurus viverrinus,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Fishing cat,8826.46,NA,120,NA,NA,NA,17.2,206.4,NA,NA,acceptable,10650,206.4,NA,NA,NA,163.2,NA
Pristipomoides_filamentosus,Pristipomoides filamentosus,Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,Crimson jobfish,NA,NA,NA,NA,NA,NA,18,216,NA,NA,acceptable,4484.7,216,NA,NA,NA,216,NA
Pristipomoides_multidens,Pristipomoides multidens,Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,Goldbanded jobfish,NA,NA,NA,NA,NA,NA,30,360,NA,NA,acceptable,3700,360,NA,NA,NA,360,NA
Pristipomoides_typus,Pristipomoides typus,Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides,Sharptooth jobfish,NA,NA,NA,NA,NA,NA,11,132,NA,NA,acceptable,1210,132,NA,NA,NA,132,NA
Pristis_perotteti,Pristis perotteti,Chordata,Chondrichthyes,Pristiformes,Pristidae,Pristis,Largetooth sawfish,NA,NA,NA,NA,3650,NA,30,360,NA,NA,acceptable,325050,360,NA,NA,NA,360,NA
Probosciger_aterrimus,Probosciger aterrimus,Chordata,Aves,Psittaciformes,Psittacidae,Probosciger,Palm cockatoo,NA,NA,NA,NA,2739,NA,56.3,675.6,NA,NA,acceptable,841,675.6,806,NA,21.238,675.6,NA
Procapra_gutturosa,Procapra gutturosa,Chordata,Mammalia,Artiodactyla,Bovidae,Procapra,Mongolian gazelle,28274.27,NA,84,893.06,532,NA,12,144,NA,NA,acceptable,30000,144,NA,NA,NA,114,NA
Procavia_capensis,Procavia capensis,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,Rock hyrax,2952.48,2325,168,487.07,500,500,14.8,177.6,4.954,2458,acceptable,3600,177.6,1260,NA,17.4,172.8,DIU
Procellaria_parkinsoni,Procellaria parkinsoni,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,Black petrel,NA,NA,NA,NA,2557,NA,17,204,NA,NA,acceptable,702.5,204,NA,NA,NA,204,NA
Procelsterna_cerulea,Procelsterna cerulea,Chordata,Aves,Charadriiformes,Laridae,Procelsterna,Blue-gray noddy,NA,NA,NA,NA,NA,NA,15,180,NA,NA,acceptable,53,180,NA,NA,NA,180,NA
Procyon_cancrivorus,Procyon cancrivorus,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,Crab-eating raccoon,6931.72,6950,168,631.37,365,365,19,228,2.588,1160,acceptable,6270,228,NA,NA,NA,198,NA
Procyon_lotor,Procyon lotor,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,Common raccoon,6373.72,5496.86,252,561.28,365,365,21,252,10.428,4842.2,acceptable,6000,252,4288.25,NA,39.1875,252,NOC
Proechimys_brevicauda,Proechimys brevicauda,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,"Andean spiny rat, or Short-tailed spiny-rat",284.99,NA,NA,NA,148,NA,6.8,81.6,NA,NA,acceptable,285,81.6,285,NA,2.95,81.6,NA
Proechimys_semispinosus,Proechimys semispinosus,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys,"Tome's spiny rat, or Spiny rat",353.32,498,31,113.38,146,146,5.8,69.6,1.75,498,acceptable,500,69.6,NA,NA,NA,50.3,NA
Profelis_aurata,Profelis aurata,Chordata,Mammalia,Carnivora,Felidae,Profelis,African golden cat,11277.17,NA,NA,650.61,651,NA,21,252,NA,NA,acceptable,10650,252,NA,NA,NA,252,NA
Progne_subis,Progne subis,Chordata,Aves,Passeriformes,Hirundinidae,Progne,Purple martin,NA,NA,NA,NA,365,365,13.8,165.6,NA,NA,acceptable,45,165.6,NA,NA,NA,165.6,NA
Prolemur_simus,Prolemur simus,Chordata,Mammalia,Primates,Lemuridae,Prolemur,Greater bamboo lemur,2030.41,NA,144,NA,NA,NA,17.6,211.2,NA,NA,acceptable,1737.5,211.2,1300,NA,9.53,177.6,NA
Propithecus_verreauxi,Propithecus verreauxi,Chordata,Mammalia,Primates,Indriidae,Propithecus,Verreaux's sifaka,3588.26,3350,247.2,943.94,912,912,31,372,3.738,3350,acceptable,5000,372,NA,NA,NA,309.6,DIU
Prosopeia_personata,Prosopeia personata,Chordata,Aves,Psittaciformes,Psittacidae,Prosopeia,Masked shining parrot,NA,NA,NA,NA,NA,NA,11.8,141.6,NA,NA,acceptable,NA,141.6,NA,NA,NA,141.6,NA
Prosopeia_splendens,Prosopeia splendens,Chordata,Aves,Psittaciformes,Psittacidae,Prosopeia,Crimson shining parrot,NA,NA,NA,NA,NA,NA,20.1,241.2,NA,NA,acceptable,NA,241.2,NA,NA,NA,241.2,NA
Prosopium_coulterii,Prosopium coulterii,Chordata,Teleostei,Salmoniformes,Salmonidae,Prosopium,Pygmy whitefish,NA,NA,NA,NA,NA,NA,9,108,NA,NA,acceptable,NA,108,NA,NA,NA,108,NA
Prosopium_cylindraceum,Prosopium cylindraceum,Chordata,Teleostei,Salmoniformes,Salmonidae,Prosopium,Round whitefish,NA,NA,NA,NA,1095,1095,16,192,NA,NA,acceptable,1498,192,NA,NA,NA,192,NA
Prosopium_gemmifer,Prosopium gemmifer,Chordata,Teleostei,Salmoniformes,Salmonidae,Prosopium,Bonneville cisco,NA,NA,NA,NA,NA,NA,6,72,NA,NA,acceptable,NA,72,NA,NA,NA,72,NA
Prosopium_spilonotus,Prosopium spilonotus,Chordata,Teleostei,Salmoniformes,Salmonidae,Prosopium,Bonneville whitefish,NA,NA,NA,NA,NA,NA,8,96,NA,NA,acceptable,NA,96,NA,NA,NA,96,NA
Prosopium_williamsoni,Prosopium williamsoni,Chordata,Teleostei,Salmoniformes,Salmonidae,Prosopium,Mountain whitefish,NA,NA,NA,NA,NA,NA,17,204,NA,NA,acceptable,1606,204,NA,NA,NA,204,NA
Proteles_cristata,Proteles cristata,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Aardwolf,8139.39,8025,300,631.37,631,NA,20,240,11.563,7902.6,acceptable,10000,240,7710,10.87966667,NA,270,NA
Proteus_anguinus,Proteus anguinus,Chordata,Amphibia,Caudata,Proteidae,Proteus,Olm,NA,NA,NA,NA,4124,NA,102,1224,NA,NA,acceptable,17,1224,NA,NA,NA,1224,NA
Protonotaria_citrea,Protonotaria citrea,Chordata,Aves,Passeriformes,Parulidae,Protonotaria,Prothonotary warbler,NA,NA,NA,NA,365,365,8.1,97.2,0.1994,12.8,acceptable,14.3,97.2,NA,NA,NA,97.2,NA
Protopterus_annectens,Protopterus annectens,Chordata,Dipnoi,Lepidosireniformes,Protopteridae,Protopterus,African lungfish,NA,NA,NA,NA,NA,NA,18,216,NA,NA,acceptable,NA,NA,NA,NA,NA,216,NA
Prototroctes_maraena,Prototroctes maraena,Chordata,Teleostei,Osmeriformes,Retropinnidae,Prototroctes,Australian grayling,NA,NA,NA,NA,NA,NA,6,72,NA,NA,acceptable,186,72,NA,NA,NA,72,NA
Prunella_modularis,Prunella modularis,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Hedge sparrow,NA,NA,NA,NA,365,365,20.8,249.6,0.325,16.8,acceptable,20.2,249.6,NA,NA,NA,249.6,NA
Przewalskium_albirostre,Przewalskium albirostre,Chordata,Mammalia,Artiodactyla,Cervidae,Przewalskium,Thorold's deer,NA,NA,NA,NA,730,NA,21.3,255.6,NA,NA,acceptable,135000,255.6,NA,NA,NA,255.6,NA
Psaltriparus_minimus,Psaltriparus minimus,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,Bushtit,NA,NA,NA,NA,365,365,9.1,109.2,0.122375,5.5,acceptable,5.3,109.2,5.5,0.121,NA,109.2,NA
Psammomys_obesus,Psammomys obesus,Chordata,Mammalia,Rodentia,Muridae,Psammomys,Fat sand rat,102.15,NA,NA,63.38,100,NA,3.2,38.4,NA,NA,acceptable,212,38.4,NA,NA,NA,38.4,NA
Psammophis_subtaeniatus,Psammophis subtaeniatus,Chordata,Reptilia,Squamata,Lamprophiidae,Psammophis,Stripe-belly sand racer,NA,NA,NA,NA,NA,NA,5.8,69.6,NA,NA,acceptable,NA,69.6,NA,NA,NA,69.6,NA
Psephotus_dissimilis,Psephotus dissimilis,Chordata,Aves,Psittaciformes,Psittacidae,Psephotus,Hooded parrot,NA,NA,NA,NA,545,NA,18,216,NA,NA,acceptable,55,216,47.5,NA,1.80264,216,NA
